# mag_best_u mag_best_z magerr_best_u magerr_best_z mag_best_Ks magerr_best_Ks
25.079843521118164 23.612491607666016 0.07152637094259262 0.07399209588766098 20.9156 0.0233
25.95580291748047 24.943626403808594 0.09532948583364487 0.14764255285263062 23.2939 0.1102
24.752906799316406 24.277402877807617 0.04727642238140106 0.11250567436218262 21.5867 0.0488
26.308279037475586 24.415687561035156 0.14951980113983154 0.10600706189870834 21.9156 0.0497
23.992176055908203 24.26271629333496 0.03837445750832558 0.06987591832876205 20.0322 0.0267
24.834732055664062 23.930965423583984 0.04666974022984505 0.07812484353780746 22.8011 0.0857
24.93209457397461 23.56503677368164 0.05675949156284332 0.06366422027349472 22.5456 0.0699
25.113176345825195 24.15502166748047 0.05194123089313507 0.08259231597185135 23.0613 0.094
25.456256866455078 23.58856964111328 0.08554260432720184 0.061813272535800934 22.0841 0.0559
25.785945892333984 23.860193252563477 0.10631539672613144 0.0730399340391159 22.8148 0.0628
25.537683486938477 24.957111358642578 0.09914759546518326 0.23090699315071106 23.3245 0.1406
27.23601722717285 25.392778396606445 0.33220553398132324 0.24740388989448547 23.256 0.1682
26.759000778198242 24.128297805786133 0.23439887166023254 0.08560078591108322 21.7713 0.0318
24.30592155456543 22.962766647338867 0.037360187619924545 0.04236277565360069 22.0584 0.0578
25.802221298217773 24.53465461730957 0.11705314368009567 0.14604590833187103 23.3714 0.1333
26.92449378967285 25.367341995239258 0.2924021780490875 0.2827965319156647 22.0841 0.0413
25.148273468017578 24.460674285888672 0.0916886106133461 0.09207741171121597 23.0894 0.1106
24.878326416015625 23.452037811279297 0.06338007748126984 0.06794463098049164 22.4614 0.0574
24.09763526916504 22.84454345703125 0.041261862963438034 0.031517866998910904 21.7947 0.0482
25.4810733795166 24.588577270507812 0.06413508206605911 0.1087256446480751 23.1026 0.1013
25.494218826293945 24.31818199157715 0.06755073368549347 0.08926571905612946 22.4521 0.0805
26.673009872436523 24.315322875976562 0.24586157500743866 0.11472532153129578 22.7863 0.0794
25.927143096923828 24.073627471923828 0.13513663411140442 0.09936283528804779 23.0974 0.0894
